Section,Item,Story Points,Hours per SP,Total Hours,Rate (USD/hr),Amount (USD),Exchange Rate (IDR/USD),Amount (IDR),Notes
Epic 9: User Dashboard,READ Dashboard Overview,3,0.5,1.5,$30.00,$45.00,"Rp 16,300","Rp 733,500","Resume card + AI usage card + interview prep card"
Epic 9: User Dashboard,READ AI Usage Status,2,0.5,1.0,$30.00,$30.00,"Rp 16,300","Rp 489,000","Remaining actions display, real-time update"
,Epic 9 Subtotal,5,0.5,2.5,$30.00,$75.00,"Rp 16,300","Rp 1,222,500",
,,,,,,,,,
SUMMARY,,,,,,,,,
,Total All Epics (FE + BE + INT),66,0.5,33.0,$30.00,$990.00,"Rp 16,300","Rp 16,137,000","Full scope if all tracks billed"
,,,,,,,,,
BILLED SCOPE (Backend Only),,,,,,,,,
,Backend Story Points Only,40,0.5,20.0,$30.00,$600.00,"Rp 16,300","Rp 9,780,000","5 working days × 4 hours/day"
,Frontend (EXCLUDED — strikethrough),25,0.5,12.5,$30.00,$375.00,"Rp 16,300","Rp 6,112,500","Not billed"
,Integration Testing (EXCLUDED — strikethrough),22,0.5,11.0,$30.00,$330.00,"Rp 16,300","Rp 5,379,000","Not billed"
,PM Deliverables (EXCLUDED — provided free),—,—,—,—,—,—,—,"PRD, ERD, UX Flow, Architecture Design — already delivered"
,,,,,,,,,
FINAL QUOTATION,,,,,,,,,
,Billed: Backend Development,40,0.5,20.0,$30.00,$600.00,"Rp 16,300","Rp 9,780,000",
,PM Fee (EXCLUDED),—,—,—,—,—,—,"Rp 0","20% waived — PM deliverables provided at no charge"
,GRAND TOTAL,40,0.5,20.0,$30.00,$600.00,"Rp 16,300","Rp 9,780,000","This is the amount on the Quotation"
,,,,,,,,,
PAYMENT TERMS,,,,,,,,,
,Term 1 — Down Payment (50%),—,—,—,—,—,—,"Rp 4,890,000","Due upon project kickoff"
,Term 2 — Final Delivery (50%),—,—,—,—,—,—,"Rp 4,890,000","Due upon UAT sign-off / handover"
